New biggest  [1.055860895245989139e-01,1.056327800218995194e-01]
At gamma =  [4.365380850930565000e+08,4.365380850933794975e+08]
New biggest  [1.063063382118060174e-01,1.063411561330121213e-01]
At gamma =  [4.385893049916658998e+08,4.385893049919067025e+08]
New biggest  [1.061643785592465972e-01,1.061961343185055529e-01]
At gamma =  [4.404917803797466755e+08,4.404917803799661398e+08]
New biggest  [1.055811855766884272e-01,1.056263936396381331e-01]
At gamma =  [4.427960234911144376e+08,4.427960234914271235e+08]
New biggest  [1.058779436754219982e-01,1.058941421550008144e-01]
At gamma =  [4.452896509640024304e+08,4.452896509641143084e+08]
New biggest  [1.079117031457076381e-01,1.079601796823758952e-01]
At gamma =  [4.473342536796445251e+08,4.473342536799798608e+08]
New biggest  [1.093766210862602423e-01,1.093934594548569283e-01]
At gamma =  [4.487861762572130561e+08,4.487861762573293447e+08]
New biggest  [1.071307020053207937e-01,1.071771941963739344e-01]
At gamma =  [4.514438725769085288e+08,4.514438725772301555e+08]
New biggest  [1.060552373135457971e-01,1.061055943184265604e-01]
At gamma =  [4.535083290622901320e+08,4.535083290626385212e+08]
New biggest  [1.071303335099317855e-01,1.071429851909840719e-01]
At gamma =  [4.559134080502145886e+08,4.559134080503019094e+08]
New biggest  [1.068504471219582641e-01,1.068872008646001015e-01]
At gamma =  [4.572730797688754797e+08,4.572730797691296339e+08]
New biggest  [1.087824268401146044e-01,1.087933635013039746e-01]
At gamma =  [4.600965376206976771e+08,4.600965376207731366e+08]
New biggest  [1.135546406621777138e-01,1.135623964434771677e-01]
At gamma =  [4.618499105985725522e+08,4.618499105986259580e+08]
New biggest  [1.093911713924398676e-01,1.093930234380813271e-01]
At gamma =  [4.631432715459733605e+08,4.631432715459858775e+08]
New biggest  [1.105855298570987827e-01,1.106282711207668273e-01]
At gamma =  [4.655536174386541247e+08,4.655536174389495850e+08]
New biggest  [1.086313925724220336e-01,1.086811824861756565e-01]
At gamma =  [4.676455012050396204e+08,4.676455012053839564e+08]
New biggest  [1.075930375380065029e-01,1.075976580688951106e-01]
At gamma =  [4.704177844435588121e+08,4.704177844435905814e+08]
New biggest  [1.099435600289412479e-01,1.099817574605738701e-01]
At gamma =  [4.725149350841500163e+08,4.725149350844141245e+08]
New biggest  [1.069066052390909571e-01,1.069252606480202150e-01]
At gamma =  [4.733499473390393853e+08,4.733499473391682506e+08]
New biggest  [1.073667809501703957e-01,1.073847032756008457e-01]
At gamma =  [4.760001177369113564e+08,4.760001177370350957e+08]
New biggest  [1.081872187042707267e-01,1.082299659831972571e-01]
At gamma =  [4.773766168856346607e+08,4.773766168859302402e+08]
New biggest  [1.080706019348083025e-01,1.080936937245885743e-01]
At gamma =  [4.797866272876961827e+08,4.797866272878559232e+08]
New biggest  [1.108594891625525464e-01,1.108600138402153074e-01]
At gamma =  [4.822742185977091193e+08,4.822742185977125764e+08]
New biggest  [1.057630464926991448e-01,1.057986701568758292e-01]
At gamma =  [4.840963272885129452e+08,4.840963272887591124e+08]
New biggest  [1.103881357862680629e-01,1.103925216347606958e-01]
At gamma =  [4.875012749243683219e+08,4.875012749243984818e+08]
New biggest  [1.156239110519286795e-01,1.156752160658381517e-01]
At gamma =  [4.879315561508259773e+08,4.879315561511806250e+08]
New biggest  [1.081562582128128697e-01,1.081877494821701091e-01]
At gamma =  [4.900412610019513369e+08,4.900412610021689534e+08]
New biggest  [1.059092693872143581e-01,1.059569317003904582e-01]
At gamma =  [4.919970101076030731e+08,4.919970101079326868e+08]
New biggest  [1.103157503321821054e-01,1.103499412236971927e-01]
