There are 32 threads
Mertens at 701000000000: 99181
Mertens at 702000000000: 99979
Mertens at 703000000000: 92315
Mertens at 704000000000: 106471
Mertens at 705000000000: 108100
Mertens at 706000000000: 144530
Mertens at 707000000000: 177440
Mertens at 708000000000: 207287
Mertens at 709000000000: 185303
Mertens at 710000000000: 158560
Mertens at 711000000000: 179145
Mertens at 712000000000: 225153
Mertens at 713000000000: 242807
Mertens at 714000000000: 229106
Mertens at 715000000000: 235317
Mertens at 716000000000: 215847
Mertens at 717000000000: 226134
Mertens at 718000000000: 207366
Mertens at 719000000000: 273634
Mertens at 720000000000: 290334
Mertens at 721000000000: 284482
Mertens at 722000000000: 311121
Mertens at 723000000000: 271776
Mertens at 724000000000: 256755
Mertens at 725000000000: 260641
Mertens at 726000000000: 207756
Mertens at 727000000000: 208969
Mertens at 728000000000: 163438
Mertens at 729000000000: 167150
Mertens at 730000000000: 162620
Mertens at 731000000000: 137684
Mertens at 732000000000: 135760
Mertens at 733000000000: 136471
Mertens at 734000000000: 126280
Mertens at 735000000000: 130630
Mertens at 736000000000: 99068
Mertens at 737000000000: 138534
Mertens at 738000000000: 147430
Mertens at 739000000000: 130998
Mertens at 740000000000: 117404
Mertens at 741000000000: 141184
Mertens at 742000000000: 104385
Mertens at 743000000000: 62616
Mertens at 744000000000: 40646
Mertens at 745000000000: 47981
Mertens at 746000000000: 7652
Mertens at 747000000000: -22496
Mertens at 748000000000: -48242
Mertens at 749000000000: -75226
Mertens at 750000000000: -82721
Mertens at 751000000000: -100343
Mertens at 752000000000: -107569
Mertens at 753000000000: -89080
Mertens at 754000000000: -87927
Mertens at 755000000000: -110414
Mertens at 756000000000: -96724
Mertens at 757000000000: -105169
Mertens at 758000000000: -107676
Mertens at 759000000000: -95191
Mertens at 760000000000: -99445
Mertens at 761000000000: -123217
Mertens at 762000000000: -146193
Mertens at 763000000000: -122677
Mertens at 764000000000: -95138
Mertens at 765000000000: -99659
Mertens at 766000000000: -136917
Mertens at 767000000000: -168276
Mertens at 768000000000: -210869
Mertens at 769000000000: -241632
Mertens at 770000000000: -226474
Mertens at 771000000000: -225901
Mertens at 772000000000: -247168
Mertens at 773000000000: -243028
Mertens at 774000000000: -227328
Mertens at 775000000000: -229071
Mertens at 776000000000: -219950
Mertens at 777000000000: -263342
Mertens at 778000000000: -244112
Mertens at 779000000000: -262888
Mertens at 780000000000: -246565
Mertens at 781000000000: -220744
Mertens at 782000000000: -221835
Mertens at 783000000000: -224501
Mertens at 784000000000: -199441
Mertens at 785000000000: -168253
Mertens at 786000000000: -156720
Mertens at 787000000000: -201124
Mertens at 788000000000: -164681
Mertens at 789000000000: -172059
Mertens at 790000000000: -135284
Mertens at 791000000000: -132984
Mertens at 792000000000: -192394
Mertens at 793000000000: -185476
Mertens at 794000000000: -209635
Mertens at 795000000000: -199577
Mertens at 796000000000: -213761
Mertens at 797000000000: -234505
Mertens at 798000000000: -234110
Mertens at 799000000000: -246570
Mertens at 800000000000: -268434
Mertens at 801000000000: -271418
Mertens at 802000000000: -262611
Mertens at 803000000000: -246709
Mertens at 804000000000: -217561
Mertens at 805000000000: -225371
Mertens at 806000000000: -206332
Mertens at 807000000000: -255657
Mertens at 808000000000: -239568
Mertens at 809000000000: -204275
Mertens at 810000000000: -208086
Mertens at 811000000000: -198456
Mertens at 812000000000: -215035
Mertens at 813000000000: -198861
Mertens at 814000000000: -188735
Mertens at 815000000000: -225465
Mertens at 816000000000: -204916
Mertens at 817000000000: -186229
Mertens at 818000000000: -207852
Mertens at 819000000000: -197184
Mertens at 820000000000: -203763
Mertens at 821000000000: -228749
Mertens at 822000000000: -245996
Mertens at 823000000000: -233219
Mertens at 824000000000: -228773
Mertens at 825000000000: -225763
Mertens at 826000000000: -224750
Mertens at 827000000000: -208935
Mertens at 828000000000: -215457
Mertens at 829000000000: -193349
Mertens at 830000000000: -194480
Mertens at 831000000000: -207866
Mertens at 832000000000: -210698
Mertens at 833000000000: -191949
Mertens at 834000000000: -200468
Mertens at 835000000000: -257057
Mertens at 836000000000: -215503
Mertens at 837000000000: -196289
Mertens at 838000000000: -176492
Mertens at 839000000000: -193071
Mertens at 840000000000: -191222
Mertens at 841000000000: -167136
Mertens at 842000000000: -153490
Mertens at 843000000000: -171089
Mertens at 844000000000: -171559
Mertens at 845000000000: -193834
Mertens at 846000000000: -193735
Mertens at 847000000000: -204350
Mertens at 848000000000: -208839
Mertens at 849000000000: -173642
Mertens at 850000000000: -162621
Mertens at 851000000000: -155669
Mertens at 852000000000: -165120
Mertens at 853000000000: -128818
Mertens at 854000000000: -85601
Mertens at 855000000000: -53194
Mertens at 856000000000: -42199
Mertens at 857000000000: -67416
Mertens at 858000000000: -78941
Mertens at 859000000000: -141474
Mertens at 860000000000: -116418
Mertens at 861000000000: -75004
Mertens at 862000000000: -13634
Mertens at 863000000000: -5019
Mertens at 864000000000: -15696
Mertens at 865000000000: -49633
Mertens at 866000000000: -46342
Mertens at 867000000000: 25916
Mertens at 868000000000: 27748
Mertens at 869000000000: 13218
Mertens at 870000000000: 24383
Mertens at 871000000000: 12387
Mertens at 872000000000: -4383
Mertens at 873000000000: 17286
Mertens at 874000000000: 6296
Mertens at 875000000000: -22008
Mertens at 876000000000: -2342
Mertens at 877000000000: -22872
Mertens at 878000000000: -12931
Mertens at 879000000000: -33875
Mertens at 880000000000: -33718
Mertens at 881000000000: -6046
Mertens at 882000000000: -62166
Mertens at 883000000000: -55898
Mertens at 884000000000: 906
Mertens at 885000000000: -31961
Mertens at 886000000000: -57622
Mertens at 887000000000: -69124
Mertens at 888000000000: -65929
Mertens at 889000000000: -74070
