                                            GP/PARI CALCULATOR Version 2.7.5 (released)
                                    amd64 running linux (x86-64/GMP-6.0.0 kernel) 64-bit version
                            compiled: Nov 10 2015, gcc version 5.2.1 20151028 (Ubuntu 5.2.1-23ubuntu1) 
                                                     threading engine: pthread
                                           (readline v6.3 enabled, extended help enabled)

                                               Copyright (C) 2000-2015 The PARI Group

PARI/GP is free software, covered by the GNU General Public License, and comes WITHOUT ANY WARRANTY WHATSOEVER.

Type ? for help, \q to quit.
Type ?12 for how to get moral (and possibly technical) support.

parisize = 8000000, primelimit = 500000
   realprecision = 115 significant digits (100 digits displayed)
1000269.417924556552561216302075599728237456891078478022382498737583601344392290541619497262026370478 + 0.05951689469220143310573378825263284498385821189741560921000176254217362527927765695539596811262786043*I
1000274.018149951919765984013605429836606899671679087569305608727284504324584809429305224220679932904 + 0.06467088530750378049740623471917195675741261140484035686932577821755676553559519463181987628367340348*I
1000275.080105633004962029085295971081104136794029167447967021443664485365108216412048591944431153182 + 0.04836210018728528333118911995133892645745255380990587702485075619753267368771118380534118073363586295*I
1000278.612965684360203640562519398215510560836848607334424354606125120343662151651217429517250958310 + 0.04828085886711675344097879552482666883209221929234559104100644576814023041294252158098788597590700616*I
1000280.427025451149995166462159461060120925216948238571920430943651437525771332943222487325400527205 + 0.04140262406946256200800208921108529911636903537966428156407209331573983470206744897687414287348415840*I
1000282.118245027123754475540670167395739306618709600503498624305593929062345154112978681335565297932 + 0.06038844787982377652669823379131115349264492764208163329486724999847409239880320527653211185224386424*I
1000283.206135461116064635148755827553266513992256411330785062757458032852441116072093876610811279517 + 0.03991932827364031970834052811711080145463838080242598310824290659049973497414991138209463025072706623*I
1000286.744212896900942436255717989012385943630772496514522468130953233076615215607313301986777434317 + 0.06125732892387552041037317173986856988578782181285991525807164379119668452833795438034537947408785570*I
1000289.520775106037648258779536194050945255182165378207320910650949108957036449300487257219301733497 + 0.05150191112215915771829516436939725052784895211617108447489751256049894753037243496379923059391853591*I
1000291.389244982869531900257385554714789546078845210153945514913834824024217857026023734746053481354 + 0.04740513767898899533302224364305347830790016208108183013860316244833208659754597449520559853616383709*I
1000293.089219674078458949116474768111812426657181673037661556065356828408005426194962914515202105499 + 0.04486259285120780187752954631227730504953308728308378862503610258238284530739669849426748581266652031*I
1000294.120894824227336415678089068346958591983305206844346601082236072346681402192218146323707858876 + 0.04981114050822180088411257453641663318761851181608295094039616608870287663114844365275545873402619258*I
1000295.957727579524453593101317408236265304461838243898395140928504523690617552452499811998445034417 + 0.03314143075264315012107617464981526132154147071521381488840343132901327628388808198638788716224688891*I
1000298.730281540244660642084978388785260758126397355328826321710584635192206792063386582730267694958 + 0.05657487884513633463281634489398230679444720391892701037953388489779592538943315657774862524553388765*I
1000299.467576308607868056430488109588575379812888911543480456252598407947798843340169407727117911319 + 0.05848913095339996896340436349771575004055892887587336514752378988644209813436168775221092666802900936*I
1000304.090478654269035696151052263310809842805445739874994667504658576982019650542785970777227452376 + 0.05331848331173812265902154964209915717815524937708544975995268365644025401122010262786098107310672796*I
1000311.462081570404092953992694998551512108742987338096690786269931433412878354305274921659244098049 + 0.05658207039712172612533495365695223240551726623146248662100076756198553192221794997043074517331983683*I
1000316.090641721951699946186146701523340491986777679570162801946419250770254906200298751451075415765 + 0.04743478181129787623875136961781215177500382109151241827027716782059141070303491476968051972726088322*I
1000316.829764090982783498842289984144810357906095186369149573782378131864550660162115669505039339742 + 0.06210630327687872629935392974698341667931930512618679591059663283161890490023147051585909723328496211*I
1000319.590057614720465218890863377825448844684045234954771323120776465499333859103635059541865790257 + 0.06069454632975387380598481152033596405697995831827557419044187142684677483192051019145661667578209549*I
1000321.453237809178508684823989161007579604397138279428544771957289889935719368330958857153476520295 + 0.04663595740876190903879568997292873933296624842641819448367837052985014354304604124200574171752377346*I
1000321.453237809178508684823989161007579604397138279428544771957289889935719368330958857153476520295 + 0.04663595740876190903879568997292873933296624842641819448367837052985014354304604124200574171752377346*I
1000324.180316262375462359284516998456103617143362442379637645311506280777925731574499856850430723729 + 0.04429908864765849836506838790381262959369721512721800595025146817694738335590780250897023193659415355*I
